FPM:   Word:                  Gender:
1.8    recyclage              f -> m 
1.8    demeuré                f -> m 
1.8    préjudice              f -> m 
1.8    supplice               f -> m 
1.8    comprimé               f -> m 
1.8    paradoxe               f -> m 
1.8    pourpre                f -> m 
1.8    antre                  f -> m 
1.8    apogée                 f -> m 
1.8    augure                 f -> m 
1.8    hebdomadaire           f -> m 
1.8    single                 f -> m 
1.8    maxime                 m -> f 
1.8    holocauste             f -> m 
1.7    phoque                 f -> m 
1.7    hyperespace            f -> m 
1.7    cottage                f -> m 
1.7    cachemire              f -> m 
1.7    erre                   f -> m 
1.7    réfugié                f -> m 
1.7    blabla                 f -> m 
1.7    gingembre              f -> m 
1.7    parjure                f -> m 
1.7    ovale                  f -> m 
1.7    consommé               f -> m 
1.7    lave-vaisselle         f -> m 
1.7    râle                   f -> m 
1.7    tapage                 f -> m 
1.7    appendice              f -> m 
1.7    auguste                f -> m 
1.7    glaçage                f -> m 
1.7    colo                   m -> f 
1.6    buste                  f -> m 
1.6    repérage               f -> m 
1.6    chimpanzé              f -> m 
1.6    dahlia                 f -> m 
1.6    calvaire               f -> m 
1.6    milk-shake             f -> m 
1.6    guidage                f -> m 
1.6    grand-papa             f -> m 
1.6    crêpe                  f -> m 
1.6    caddie                 f -> m 
1.6    tesla                  f -> m 
1.6    trombone               f -> m 
1.6    mirage                 f -> m 
1.6    dérivé                 f -> m 
1.6    conservatoire          f -> m 
1.6    édifice                f -> m 
1.6    dosage                 f -> m 
1.6    planétaire             f -> m 
1.6    vignoble               f -> m 
1.5    dispensaire            f -> m 
1.5    méthane                f -> m 
1.5    aa                     f -> m 
1.5    verbe                  f -> m 
1.5    avant-poste            f -> m 
1.5    péage                  f -> m 
1.5    savoir-faire           f -> m 
1.5    arrosage               f -> m 
1.5    pèlerinage             f -> m 
1.5    concombre              f -> m 
1.5    scrabble               f -> m 
1.5    nirvana                f -> m 
1.5    tee                    f -> m 
1.5    serbe                  f -> m 
1.5    corse                  f -> m 
1.5    marécage               f -> m 
1.5    lambda                 f -> m 
1.5    châle                  f -> m 
1.5    magnétoscope           f -> m 
1.5    dépistage              f -> m 
1.5    tibia                  f -> m 
1.5    libido                 m -> f 
1.5    questionnaire          f -> m 
1.5    thermomètre            f -> m 
1.5    cade                   f -> m 
1.5    titane                 f -> m 
1.5    sous-titre             f -> m 
1.5    faune                  f -> m 
1.5    tchèque                f -> m 
1.5    ermite                 f -> m 
1.4    monologue              f -> m 
1.4    horoscope              f -> m 
1.4    cryptage               f -> m 
1.4    observatoire           f -> m 
1.4    estropié               f -> m 
1.4    zèbre                  f -> m 
1.4    cannibale              f -> m 
1.4    rave                   f -> m 
1.4    narcisse               f -> m 
1.4    incendiaire            f -> m 
1.4    olympe                 f -> m 
1.4    grillage               f -> m 
1.4    havre                  f -> m 
1.4    cirage                 f -> m 
1.4    hémisphère             f -> m 
1.4    dioxyde                f -> m 
1.4    sacrilège              f -> m 
1.4    déca                   f -> m 
1.4    instantané             f -> m 
1.4    pavé                   f -> m 
1.4    interphone             f -> m 
1.4    buffle                 f -> m 
1.4    monopole               f -> m 
1.4    privilégié             f -> m 
1.4    oméga                  f -> m 
1.4    dirigeable             f -> m 
1.4    casse-tête             f -> m 
1.4    lé                     f -> m 
1.4    scarabée               f -> m 
1.4    lime                   m -> f 
1.4    pandore                f -> m 
1.4    dada                   f -> m 
1.4    rallye                 f -> m 
1.4    ka                     f -> m 
1.3    terne                  f -> m 
1.3    porridge               f -> m 
1.3    tiers-monde            f -> m 
1.3    média                  f -> m 
1.3    brownie                f -> m 
1.3    obstiné                f -> m 
1.3    bicarbonate            f -> m 
1.3    fusible                f -> m 
1.3    largage                f -> m 
1.3    casse-croûte           f -> m 
1.3    bidule                 f -> m 
1.3    magnétophone           f -> m 
1.3    frisbee                f -> m 
1.3    pontage                f -> m 
1.3    jingle                 f -> m 
1.3    accrochage             f -> m 
1.3    triage                 f -> m 
1.3    prêche                 f -> m 
1.3    cône                   f -> m 
1.3    éphémère               f -> m 
1.3    samba                  f -> m 
1.3    administré             f -> m 
1.3    choléra                f -> m 
1.3    contraste              f -> m 
1.3    exilé                  f -> m 
1.3    bricolage              f -> m 
1.3    entracte               f -> m 
1.3    pillage                f -> m 
1.3    essayage               f -> m 
1.3    renne                  f -> m 
1.3    maté                   f -> m 
1.3    multiple               f -> m 
1.3    écume                  m -> f 
1.3    placenta               f -> m 
1.3    kérosène               f -> m 
1.3    intro                  m -> f 
1.3    patrice                f -> m 
1.3    magnéto                m -> f 
1.3    alliage                f -> m 
1.3    patinage               f -> m 
1.3    gothique               f -> m 
1.3    cyclone                f -> m 
1.3    enrôlé                 f -> m 
1.3    arrière-grand-père     f -> m 
1.3    potage                 f -> m 
1.3    clergé                 f -> m 
1.3    pégase                 f -> m 
1.3    périple                f -> m 
1.3    bolide                 f -> m 
1.3    cola                   f -> m 
1.3    déséquilibre           f -> m 
1.3    mascara                f -> m 
1.3    amiante                f -> m 
1.3    chlore                 f -> m 
1.3    perse                  f -> m 
1.3    pactole                f -> m 
1.2    fétiche                f -> m 
1.2    gradé                  f -> m 
1.2    bizutage               f -> m 
1.2    coche                  f -> m 
1.2    ambre                  f -> m 
1.2    touffe                 f -> m 
1.2    illuminé               f -> m 
1.2    symbiote               f -> m 
1.2    lustre                 f -> m 
1.2    balboa                 f -> m 
1.2    pépère                 f -> m 
1.2    interro                m -> f 
1.2    préalable              f -> m 
1.2    sèche-linge            f -> m 
1.2    geindre                f -> m 
1.2    interné                f -> m 
1.2    macchabée              f -> m 
1.2    cylindre               f -> m 
1.2    confrère               f -> m 
1.2    milkshake              f -> m 
1.2    impro                  m -> f 
1.2    lodge                  f -> m 
1.2    sillage                f -> m 
1.2    chihuahua              f -> m 
1.2    abracadabra            f -> m 
1.2    prostitué              f -> m 
1.2    nitrate                f -> m 
1.2    dialecte               f -> m 
1.2    jeûne                  f -> m 
1.2    tuba                   f -> m 
1.2    reggae                 f -> m 
1.2    escrime                m -> f 
1.2    évangile               f -> m 
1.2    embrayage              f -> m 
1.2    frime                  m -> f 
1.2    guacamole              f -> m 
1.2    harmonica              f -> m 
1.2    philo                  m -> f 
1.2    chronomètre            f -> m 
1.2    inceste                f -> m 
1.2    rattrapage             f -> m 
1.2    déshabillé             f -> m 
1.2    incorrigible           f -> m 
1.2    sacre                  f -> m 
1.1    toxicomane             f -> m 
1.1    sceptre                f -> m 
1.1    embouteillage          f -> m 
1.1    store                  f -> m 
1.1    eunuque                f -> m 
1.1    météore                f -> m 
1.1    scrupule               f -> m 
1.1    yorkshire              f -> m 
